,_data,atemp,cnt,dteday,holiday,hr,hum,instant,mnth,season,temp,weathersit,weekday,windspeed,workingday,yr,day,dow,woy,cnt_log,by_season_all,peak,ideal,wet
0,train,0.2879,16.0,2011-01-01,0,0,0.81,1,1,1,0.24,1,6,0.0,0,0,1,5,52,2.83321334406,312498.0,0,0,0
1,train,0.2727,40.0,2011-01-01,0,1,0.8,2,1,1,0.22,1,6,0.0,0,0,1,5,52,3.7135720667,312498.0,0,0,0
2,train,0.2727,32.0,2011-01-01,0,2,0.8,3,1,1,0.22,1,6,0.0,0,0,1,5,52,3.49650756147,312498.0,0,0,0
3,train,0.2879,13.0,2011-01-01,0,3,0.75,4,1,1,0.24,1,6,0.0,0,0,1,5,52,2.63905732962,312498.0,0,0,0
4,train,0.2879,1.0,2011-01-01,0,4,0.75,5,1,1,0.24,1,6,0.0,0,0,1,5,52,0.69314718056,312498.0,0,0,0
5,train,0.2576,1.0,2011-01-01,0,5,0.75,6,1,1,0.24,2,6,0.0896,0,0,1,5,52,0.69314718056,312498.0,0,0,0
6,train,0.2727,2.0,2011-01-01,0,6,0.8,7,1,1,0.22,1,6,0.0,0,0,1,5,52,1.09861228867,312498.0,0,0,0
7,train,0.2576,3.0,2011-01-01,0,7,0.86,8,1,1,0.2,1,6,0.0,0,0,1,5,52,1.38629436112,312498.0,0,0,0
8,train,0.2879,8.0,2011-01-01,0,8,0.75,9,1,1,0.24,1,6,0.0,0,0,1,5,52,2.19722457734,312498.0,0,0,0
9,train,0.3485,14.0,2011-01-01,0,9,0.76,10,1,1,0.32,1,6,0.0,0,0,1,5,52,2.7080502011,312498.0,0,0,0
10,train,0.3939,36.0,2011-01-01,0,10,0.76,11,1,1,0.38,1,6,0.2537,0,0,1,5,52,3.61091791264,312498.0,1,0,0
11,train,0.3333,56.0,2011-01-01,0,11,0.81,12,1,1,0.36,1,6,0.2836,0,0,1,5,52,4.04305126783,312498.0,1,0,0
12,train,0.4242,84.0,2011-01-01,0,12,0.77,13,1,1,0.42,1,6,0.2836,0,0,1,5,52,4.44265125649,312498.0,1,0,0
13,train,0.4545,94.0,2011-01-01,0,13,0.72,14,1,1,0.46,2,6,0.2985,0,0,1,5,52,4.5538768916,312498.0,1,0,0
14,train,0.4545,106.0,2011-01-01,0,14,0.72,15,1,1,0.46,2,6,0.2836,0,0,1,5,52,4.67282883446,312498.0,1,0,0
15,train,0.4394,110.0,2011-01-01,0,15,0.77,16,1,1,0.44,2,6,0.2985,0,0,1,5,52,4.70953020131,312498.0,1,0,0
16,train,0.4242,93.0,2011-01-01,0,16,0.82,17,1,1,0.42,2,6,0.2985,0,0,1,5,52,4.54329478227,312498.0,1,0,0
17,train,0.4394,67.0,2011-01-01,0,17,0.82,18,1,1,0.44,2,6,0.2836,0,0,1,5,52,4.21950770518,312498.0,1,0,0
18,train,0.4242,35.0,2011-01-01,0,18,0.88,19,1,1,0.42,3,6,0.2537,0,0,1,5,52,3.58351893846,312498.0,1,0,0
19,train,0.4242,37.0,2011-01-01,0,19,0.88,20,1,1,0.42,3,6,0.2537,0,0,1,5,52,3.63758615973,312498.0,1,0,0
20,train,0.4091,36.0,2011-01-01,0,20,0.87,21,1,1,0.4,2,6,0.2537,0,0,1,5,52,3.61091791264,312498.0,0,0,0
21,train,0.4091,34.0,2011-01-01,0,21,0.87,22,1,1,0.4,2,6,0.194,0,0,1,5,52,3.55534806149,312498.0,0,0,0
22,train,0.4091,28.0,2011-01-01,0,22,0.94,23,1,1,0.4,2,6,0.2239,0,0,1,5,52,3.36729582999,312498.0,0,0,0
23,train,0.4545,39.0,2011-01-01,0,23,0.88,24,1,1,0.46,2,6,0.2985,0,0,1,5,52,3.68887945411,312498.0,0,0,0
24,train,0.4545,17.0,2011-01-02,0,0,0.88,25,1,1,0.46,2,0,0.2985,0,0,2,6,52,2.8903717579,312498.0,0,0,0
25,train,0.4394,17.0,2011-01-02,0,1,0.94,26,1,1,0.44,2,0,0.2537,0,0,2,6,52,2.8903717579,312498.0,0,0,0
26,train,0.4242,9.0,2011-01-02,0,2,1.0,27,1,1,0.42,2,0,0.2836,0,0,2,6,52,2.30258509299,312498.0,0,0,0
27,train,0.4545,6.0,2011-01-02,0,3,0.94,28,1,1,0.46,2,0,0.194,0,0,2,6,52,1.94591014906,312498.0,0,0,0
28,train,0.4545,3.0,2011-01-02,0,4,0.94,29,1,1,0.46,2,0,0.194,0,0,2,6,52,1.38629436112,312498.0,0,0,0
29,train,0.4242,2.0,2011-01-02,0,6,0.77,30,1,1,0.42,3,0,0.2985,0,0,2,6,52,1.09861228867,312498.0,0,0,0
30,train,0.4091,1.0,2011-01-02,0,7,0.76,31,1,1,0.4,2,0,0.194,0,0,2,6,52,0.69314718056,312498.0,0,0,0
31,train,0.4091,8.0,2011-01-02,0,8,0.71,32,1,1,0.4,3,0,0.2239,0,0,2,6,52,2.19722457734,312498.0,0,0,0
32,train,0.3939,20.0,2011-01-02,0,9,0.76,33,1,1,0.38,2,0,0.2239,0,0,2,6,52,3.04452243772,312498.0,0,0,0
33,train,0.3485,53.0,2011-01-02,0,10,0.81,34,1,1,0.36,2,0,0.2239,0,0,2,6,52,3.98898404656,312498.0,1,0,0
34,train,0.3333,70.0,2011-01-02,0,11,0.71,35,1,1,0.36,2,0,0.2537,0,0,2,6,52,4.26267987704,312498.0,1,0,0
35,train,0.3333,93.0,2011-01-02,0,12,0.66,36,1,1,0.36,2,0,0.2985,0,0,2,6,52,4.54329478227,312498.0,1,0,0
36,train,0.3485,75.0,2011-01-02,0,13,0.66,37,1,1,0.36,2,0,0.1343,0,0,2,6,52,4.33073334029,312498.0,1,0,0
37,train,0.3485,59.0,2011-01-02,0,14,0.76,38,1,1,0.36,3,0,0.194,0,0,2,6,52,4.09434456222,312498.0,1,0,0
38,train,0.3333,74.0,2011-01-02,0,15,0.81,39,1,1,0.34,3,0,0.1642,0,0,2,6,52,4.31748811354,312498.0,1,0,0
39,train,0.3333,76.0,2011-01-02,0,16,0.71,40,1,1,0.34,3,0,0.1642,0,0,2,6,52,4.34380542185,312498.0,1,0,0
40,train,0.3333,65.0,2011-01-02,0,17,0.57,41,1,1,0.34,1,0,0.194,0,0,2,6,52,4.18965474203,312498.0,1,0,0
41,train,0.3333,53.0,2011-01-02,0,18,0.46,42,1,1,0.36,2,0,0.3284,0,0,2,6,52,3.98898404656,312498.0,1,0,0
42,train,0.2879,30.0,2011-01-02,0,19,0.42,43,1,1,0.32,1,0,0.4478,0,0,2,6,52,3.43398720449,312498.0,1,0,0
43,train,0.2727,22.0,2011-01-02,0,20,0.39,44,1,1,0.3,1,0,0.3582,0,0,2,6,52,3.13549421593,312498.0,0,0,0
44,train,0.2273,31.0,2011-01-02,0,21,0.44,45,1,1,0.26,1,0,0.3284,0,0,2,6,52,3.4657359028,312498.0,0,0,0
45,train,0.2121,9.0,2011-01-02,0,22,0.44,46,1,1,0.24,1,0,0.2985,0,0,2,6,52,2.30258509299,312498.0,0,0,0
46,train,0.2273,8.0,2011-01-02,0,23,0.47,47,1,1,0.22,1,0,0.1642,0,0,2,6,52,2.19722457734,312498.0,0,0,0
47,train,0.197,5.0,2011-01-03,0,0,0.44,48,1,1,0.22,1,1,0.3582,1,0,3,0,1,1.79175946923,312498.0,0,0,0
48,train,0.1667,2.0,2011-01-03,0,1,0.44,49,1,1,0.2,1,1,0.4179,1,0,3,0,1,1.09861228867,312498.0,0,0,0
49,train,0.1364,1.0,2011-01-03,0,4,0.47,50,1,1,0.16,1,1,0.3881,1,0,3,0,1,0.69314718056,312498.0,0,0,0
50,train,0.1364,3.0,2011-01-03,0,5,0.47,51,1,1,0.16,1,1,0.2836,1,0,3,0,1,1.38629436112,312498.0,0,0,0
51,train,0.1061,30.0,2011-01-03,0,6,0.5,52,1,1,0.14,1,1,0.3881,1,0,3,0,1,3.43398720449,312498.0,0,0,0
52,train,0.1364,64.0,2011-01-03,0,7,0.5,53,1,1,0.14,1,1,0.194,1,0,3,0,1,4.1743872699,312498.0,0,0,0
53,train,0.1212,154.0,2011-01-03,0,8,0.5,54,1,1,0.14,1,1,0.2836,1,0,3,0,1,5.04342511692,312498.0,1,0,0
54,train,0.1364,88.0,2011-01-03,0,9,0.43,55,1,1,0.16,1,1,0.3881,1,0,3,0,1,4.48863636973,312498.0,0,0,0
55,train,0.1667,44.0,2011-01-03,0,10,0.43,56,1,1,0.18,1,1,0.2537,1,0,3,0,1,3.80666248977,312498.0,0,0,0
56,train,0.1818,51.0,2011-01-03,0,11,0.4,57,1,1,0.2,1,1,0.3284,1,0,3,0,1,3.95124371858,312498.0,0,0,0
57,train,0.2121,61.0,2011-01-03,0,12,0.35,58,1,1,0.22,1,1,0.2985,1,0,3,0,1,4.12713438505,312498.0,1,0,0
58,train,0.2121,61.0,2011-01-03,0,13,0.35,59,1,1,0.24,1,1,0.2836,1,0,3,0,1,4.12713438505,312498.0,0,0,0
59,train,0.2424,77.0,2011-01-03,0,14,0.3,60,1,1,0.26,1,1,0.2836,1,0,3,0,1,4.35670882669,312498.0,0,0,0
60,train,0.2424,72.0,2011-01-03,0,15,0.3,61,1,1,0.26,1,1,0.2537,1,0,3,0,1,4.29045944115,312498.0,0,0,0
61,train,0.2424,76.0,2011-01-03,0,16,0.3,62,1,1,0.26,1,1,0.2537,1,0,3,0,1,4.34380542185,312498.0,0,0,0
62,train,0.2273,157.0,2011-01-03,0,17,0.3,63,1,1,0.24,1,1,0.2239,1,0,3,0,1,5.06259503303,312498.0,1,0,0
63,train,0.2576,157.0,2011-01-03,0,18,0.32,64,1,1,0.24,1,1,0.1045,1,0,3,0,1,5.06259503303,312498.0,1,0,0
64,train,0.2576,110.0,2011-01-03,0,19,0.47,65,1,1,0.2,1,1,0.0,1,0,3,0,1,4.70953020131,312498.0,0,0,0
65,train,0.2273,52.0,2011-01-03,0,20,0.47,66,1,1,0.2,1,1,0.1045,1,0,3,0,1,3.97029191355,312498.0,0,0,0
66,train,0.197,52.0,2011-01-03,0,21,0.64,67,1,1,0.18,1,1,0.1343,1,0,3,0,1,3.97029191355,312498.0,0,0,1
67,train,0.1515,20.0,2011-01-03,0,22,0.69,68,1,1,0.14,1,1,0.1343,1,0,3,0,1,3.04452243772,312498.0,0,0,1
68,train,0.2121,12.0,2011-01-03,0,23,0.55,69,1,1,0.18,1,1,0.1045,1,0,3,0,1,2.56494935746,312498.0,0,0,0
69,train,0.1818,5.0,2011-01-04,0,0,0.55,70,1,1,0.16,1,2,0.1045,1,0,4,1,1,1.79175946923,312498.0,0,0,0
70,train,0.1818,2.0,2011-01-04,0,1,0.59,71,1,1,0.16,1,2,0.1045,1,0,4,1,1,1.09861228867,312498.0,0,0,0
71,train,0.1515,1.0,2011-01-04,0,2,0.63,72,1,1,0.14,1,2,0.1343,1,0,4,1,1,0.69314718056,312498.0,0,0,1
72,train,0.1818,2.0,2011-01-04,0,4,0.63,73,1,1,0.14,1,2,0.0896,1,0,4,1,1,1.09861228867,312498.0,0,0,1
73,train,0.1515,4.0,2011-01-04,0,5,0.68,74,1,1,0.12,1,2,0.1045,1,0,4,1,1,1.60943791243,312498.0,0,0,1
74,train,0.1515,36.0,2011-01-04,0,6,0.74,75,1,1,0.12,1,2,0.1045,1,0,4,1,1,3.61091791264,312498.0,0,0,1
75,train,0.1515,94.0,2011-01-04,0,7,0.74,76,1,1,0.12,1,2,0.1343,1,0,4,1,1,4.5538768916,312498.0,0,0,1
76,train,0.1515,179.0,2011-01-04,0,8,0.69,77,1,1,0.14,1,2,0.1642,1,0,4,1,1,5.19295685089,312498.0,1,0,1
77,train,0.1515,100.0,2011-01-04,0,9,0.64,78,1,1,0.16,1,2,0.2239,1,0,4,1,1,4.61512051684,312498.0,0,0,1
78,train,0.1364,42.0,2011-01-04,0,10,0.69,79,1,1,0.16,2,2,0.3284,1,0,4,1,1,3.76120011569,312498.0,0,0,1
79,train,0.2121,57.0,2011-01-04,0,11,0.51,80,1,1,0.22,1,2,0.2985,1,0,4,1,1,4.06044301055,312498.0,0,0,0
80,train,0.2273,78.0,2011-01-04,0,12,0.51,81,1,1,0.22,1,2,0.1642,1,0,4,1,1,4.36944785247,312498.0,1,0,0
81,train,0.2273,97.0,2011-01-04,0,13,0.56,82,1,1,0.24,1,2,0.194,1,0,4,1,1,4.58496747867,312498.0,0,0,0
82,train,0.2576,63.0,2011-01-04,0,14,0.52,83,1,1,0.26,1,2,0.2239,1,0,4,1,1,4.15888308336,312498.0,0,0,0
83,train,0.2727,65.0,2011-01-04,0,15,0.52,84,1,1,0.28,1,2,0.2537,1,0,4,1,1,4.18965474203,312498.0,0,0,0
84,train,0.2879,83.0,2011-01-04,0,16,0.49,85,1,1,0.3,1,2,0.2537,1,0,4,1,1,4.43081679884,312498.0,0,0,0
85,train,0.2727,212.0,2011-01-04,0,17,0.48,86,1,1,0.28,1,2,0.2239,1,0,4,1,1,5.36129216571,312498.0,1,0,0
86,train,0.2576,182.0,2011-01-04,0,18,0.48,87,1,1,0.26,1,2,0.194,1,0,4,1,1,5.20948615284,312498.0,1,0,0
87,train,0.2576,112.0,2011-01-04,0,19,0.48,88,1,1,0.24,1,2,0.1045,1,0,4,1,1,4.72738781871,312498.0,0,0,0
88,train,0.2576,54.0,2011-01-04,0,20,0.48,89,1,1,0.24,1,2,0.1045,1,0,4,1,1,4.00733318523,312498.0,0,0,0
89,train,0.2727,48.0,2011-01-04,0,21,0.64,90,1,1,0.22,1,2,0.0,1,0,4,1,1,3.89182029811,312498.0,0,0,1
90,train,0.2576,35.0,2011-01-04,0,22,0.64,91,1,1,0.22,1,2,0.0896,1,0,4,1,1,3.58351893846,312498.0,0,0,1
91,train,0.2273,11.0,2011-01-04,0,23,0.69,92,1,1,0.2,1,2,0.0896,1,0,4,1,1,2.48490664979,312498.0,0,0,1
92,train,0.2576,6.0,2011-01-05,0,0,0.64,93,1,1,0.2,1,3,0.0,1,0,5,2,1,1.94591014906,312498.0,0,0,1
93,train,0.197,6.0,2011-01-05,0,1,0.74,94,1,1,0.16,1,3,0.0896,1,0,5,2,1,1.94591014906,312498.0,0,0,1
94,train,0.197,2.0,2011-01-05,0,2,0.74,95,1,1,0.16,1,3,0.0896,1,0,5,2,1,1.09861228867,312498.0,0,0,1
95,train,0.2273,2.0,2011-01-05,0,4,0.48,96,1,1,0.24,1,3,0.2239,1,0,5,2,1,1.09861228867,312498.0,0,0,0
96,train,0.2273,3.0,2011-01-05,0,5,0.47,97,1,1,0.22,1,3,0.1642,1,0,5,2,1,1.38629436112,312498.0,0,0,0
97,train,0.197,33.0,2011-01-05,0,6,0.47,98,1,1,0.2,1,3,0.2239,1,0,5,2,1,3.52636052462,312498.0,0,0,0
98,train,0.1818,88.0,2011-01-05,0,7,0.43,99,1,1,0.18,1,3,0.194,1,0,5,2,1,4.48863636973,312498.0,0,0,0
