dteday,Prediction
2011-01-20,7.0
2011-01-20,5.0
2011-01-20,3.0
2011-01-20,3.0
2011-01-20,2.0
2011-01-20,9.0
2011-01-20,25.0
2011-01-20,202.0
2011-01-20,237.0
2011-01-20,119.0
2011-01-20,70.0
2011-01-20,55.0
2011-01-20,75.0
2011-01-20,102.0
2011-01-20,87.0
2011-01-20,97.0
2011-01-20,161.0
2011-01-20,244.0
2011-01-20,278.0
2011-01-20,166.0
2011-01-20,139.0
2011-01-20,66.0
2011-01-20,60.0
2011-01-20,43.0
2011-01-21,13.0
2011-01-21,13.0
2011-01-21,4.0
2011-01-21,3.0
2011-01-21,5.0
2011-01-21,11.0
2011-01-21,16.0
2011-01-21,95.0
2011-01-21,261.0
2011-01-21,127.0
2011-01-21,89.0
2011-01-21,69.0
2011-01-21,84.0
2011-01-21,79.0
2011-01-21,70.0
2011-01-21,80.0
2011-01-21,108.0
2011-01-21,161.0
2011-01-21,155.0
2011-01-21,112.0
2011-01-21,101.0
2011-01-21,71.0
2011-01-21,36.0
2011-01-21,34.0
2011-01-22,27.0
2011-01-22,27.0
2011-01-22,20.0
2011-01-22,12.0
2011-01-22,4.0
2011-01-22,4.0
2011-01-22,18.0
2011-01-22,27.0
2011-01-22,41.0
2011-01-22,70.0
2011-01-22,91.0
2011-01-22,108.0
2011-01-22,122.0
2011-01-22,136.0
2011-01-22,152.0
2011-01-22,120.0
2011-01-22,104.0
2011-01-22,90.0
2011-01-22,86.0
2011-01-22,67.0
2011-01-22,56.0
2011-01-22,53.0
2011-01-22,41.0
2011-01-23,37.0
2011-01-23,26.0
2011-01-23,25.0
2011-01-23,9.0
2011-01-23,3.0
2011-01-23,3.0
2011-01-23,13.0
2011-01-23,34.0
2011-01-23,42.0
2011-01-23,71.0
2011-01-23,98.0
2011-01-23,119.0
2011-01-23,120.0
2011-01-23,122.0
2011-01-23,132.0
2011-01-23,138.0
2011-01-23,104.0
2011-01-23,89.0
2011-01-23,75.0
2011-01-23,63.0
2011-01-23,60.0
2011-01-23,44.0
2011-01-23,40.0
2011-01-24,9.0
2011-01-24,6.0
2011-01-24,3.0
2011-01-24,4.0
2011-01-24,4.0
2011-01-24,12.0
2011-01-24,32.0
2011-01-24,69.0
2011-01-24,64.0
2011-01-24,63.0
2011-01-24,69.0
2011-01-24,40.0
2011-01-24,60.0
2011-01-24,47.0
2011-01-24,93.0
2011-01-24,86.0
2011-01-24,170.0
2011-01-24,120.0
2011-01-24,125.0
2011-01-24,82.0
2011-01-24,67.0
2011-01-24,36.0
2011-01-24,30.0
2011-01-25,5.0
2011-01-25,4.0
2011-01-25,2.0
2011-01-25,5.0
2011-01-25,10.0
2011-01-25,32.0
2011-01-25,96.0
2011-01-25,125.0
2011-01-25,108.0
2011-01-25,60.0
2011-01-25,33.0
2011-01-25,31.0
2011-01-25,26.0
2011-01-25,39.0
2011-01-25,48.0
2011-01-25,71.0
2011-01-25,176.0
2011-01-25,125.0
2011-01-25,115.0
2011-01-25,85.0
2011-01-25,67.0
2011-01-25,39.0
2011-01-25,30.0
2011-01-26,6.0
2011-01-26,5.0
2011-01-26,3.0
2011-01-26,4.0
2011-01-26,15.0
2011-01-26,53.0
2011-01-26,108.0
2011-01-26,114.0
2011-01-26,63.0
2011-01-26,56.0
2011-01-26,34.0
2011-01-26,24.0
2011-01-26,36.0
2011-01-26,44.0
2011-01-26,66.0
2011-01-26,103.0
2011-01-27,111.0
2011-01-27,169.0
2011-01-27,170.0
2011-01-27,123.0
2011-01-27,96.0
2011-01-27,70.0
2011-01-27,52.0
2011-01-27,38.0
2011-01-28,11.0
2011-01-28,7.0
2011-01-28,3.0
2011-01-28,2.0
2011-01-28,9.0
2011-01-28,36.0
2011-01-28,101.0
2011-01-28,182.0
2011-01-28,106.0
2011-01-28,83.0
2011-01-28,70.0
2011-01-28,71.0
2011-01-28,91.0
2011-01-28,77.0
2011-01-28,91.0
2011-01-28,123.0
2011-01-28,253.0
2011-01-28,179.0
2011-01-28,157.0
2011-01-28,107.0
2011-01-28,69.0
2011-01-28,45.0
2011-01-28,47.0
2011-01-29,40.0
2011-01-29,30.0
2011-01-29,22.0
2011-01-29,15.0
2011-01-29,7.0
2011-01-29,4.0
2011-01-29,21.0
2011-01-29,37.0
2011-01-29,55.0
2011-01-29,52.0
2011-01-29,84.0
2011-01-29,86.0
2011-01-29,88.0
2011-01-29,90.0
2011-01-29,200.0
2011-01-29,157.0
2011-01-29,113.0
2011-01-29,62.0
2011-01-29,61.0
2011-01-29,47.0
2011-01-29,49.0
2011-01-29,49.0
2011-01-29,47.0
2011-01-30,51.0
2011-01-30,32.0
2011-01-30,32.0
2011-01-30,11.0
2011-01-30,5.0
2011-01-30,2.0
2011-01-30,9.0
2011-01-30,18.0
2011-01-30,41.0
2011-01-30,95.0
2011-01-30,125.0
2011-01-30,157.0
2011-01-30,175.0
2011-01-30,164.0
2011-01-30,198.0
2011-01-30,199.0
2011-01-30,168.0
2011-01-30,79.0
2011-01-30,48.0
2011-01-30,36.0
2011-01-30,44.0
2011-01-30,62.0
2011-01-30,50.0
2011-01-31,10.0
2011-01-31,5.0
2011-01-31,3.0
2011-01-31,2.0
2011-01-31,3.0
2011-01-31,8.0
2011-01-31,38.0
2011-01-31,129.0
2011-01-31,136.0
2011-01-31,115.0
2011-01-31,59.0
2011-01-31,50.0
2011-01-31,57.0
2011-01-31,56.0
2011-01-31,56.0
2011-01-31,63.0
2011-01-31,88.0
2011-01-31,137.0
2011-01-31,153.0
2011-01-31,129.0
2011-01-31,90.0
2011-01-31,53.0
2011-01-31,36.0
2011-01-31,30.0
2011-02-20,45.0
2011-02-20,39.0
2011-02-20,28.0
2011-02-20,12.0
2011-02-20,4.0
2011-02-20,5.0
2011-02-20,12.0
2011-02-20,39.0
2011-02-20,68.0
