dteday,Prediction
2011-01-20,13.0
2011-01-20,15.0
2011-01-20,17.0
2011-01-20,19.0
2011-01-20,21.0
2011-01-20,15.0
2011-01-20,16.0
2011-01-20,26.0
2011-01-20,29.0
2011-01-20,30.0
2011-01-20,40.0
2011-01-20,41.0
2011-01-20,48.0
2011-01-20,51.0
2011-01-20,59.0
2011-01-20,69.0
2011-01-20,73.0
2011-01-20,81.0
2011-01-20,82.0
2011-01-20,103.0
2011-01-20,70.0
2011-01-20,74.0
2011-01-20,82.0
2011-01-20,91.0
2011-01-21,8.0
2011-01-21,9.0
2011-01-21,8.0
2011-01-21,9.0
2011-01-21,11.0
2011-01-21,15.0
2011-01-21,24.0
2011-01-21,26.0
2011-01-21,29.0
2011-01-21,32.0
2011-01-21,35.0
2011-01-21,41.0
2011-01-21,46.0
2011-01-21,49.0
2011-01-21,54.0
2011-01-21,55.0
2011-01-21,61.0
2011-01-21,65.0
2011-01-21,68.0
2011-01-21,76.0
2011-01-21,81.0
2011-01-21,85.0
2011-01-21,90.0
2011-01-21,100.0
2011-01-22,6.0
2011-01-22,6.0
2011-01-22,7.0
2011-01-22,8.0
2011-01-22,8.0
2011-01-22,11.0
2011-01-22,14.0
2011-01-22,15.0
2011-01-22,18.0
2011-01-22,17.0
2011-01-22,20.0
2011-01-22,23.0
2011-01-22,30.0
2011-01-22,35.0
2011-01-22,41.0
2011-01-22,46.0
2011-01-22,51.0
2011-01-22,52.0
2011-01-22,57.0
2011-01-22,61.0
2011-01-22,68.0
2011-01-22,75.0
2011-01-22,80.0
2011-01-23,7.0
2011-01-23,7.0
2011-01-23,8.0
2011-01-23,9.0
2011-01-23,10.0
2011-01-23,12.0
2011-01-23,16.0
2011-01-23,17.0
2011-01-23,21.0
2011-01-23,26.0
2011-01-23,29.0
2011-01-23,34.0
2011-01-23,36.0
2011-01-23,42.0
2011-01-23,47.0
2011-01-23,52.0
2011-01-23,55.0
2011-01-23,59.0
2011-01-23,65.0
2011-01-23,69.0
2011-01-23,77.0
2011-01-23,81.0
2011-01-23,86.0
2011-01-24,7.0
2011-01-24,8.0
2011-01-24,10.0
2011-01-24,10.0
2011-01-24,11.0
2011-01-24,13.0
2011-01-24,14.0
2011-01-24,17.0
2011-01-24,20.0
2011-01-24,24.0
2011-01-24,27.0
2011-01-24,28.0
2011-01-24,33.0
2011-01-24,36.0
2011-01-24,48.0
2011-01-24,53.0
2011-01-24,57.0
2011-01-24,63.0
2011-01-24,70.0
2011-01-24,78.0
2011-01-24,59.0
2011-01-24,58.0
2011-01-24,68.0
2011-01-25,5.0
2011-01-25,6.0
2011-01-25,8.0
2011-01-25,10.0
2011-01-25,11.0
2011-01-25,13.0
2011-01-25,14.0
2011-01-25,14.0
2011-01-25,17.0
2011-01-25,20.0
2011-01-25,24.0
2011-01-25,40.0
2011-01-25,45.0
2011-01-25,55.0
2011-01-25,64.0
2011-01-25,71.0
2011-01-25,86.0
2011-01-25,84.0
2011-01-25,58.0
2011-01-25,70.0
2011-01-25,78.0
2011-01-25,82.0
2011-01-25,81.0
2011-01-26,7.0
2011-01-26,8.0
2011-01-26,7.0
2011-01-26,10.0
2011-01-26,11.0
2011-01-26,13.0
2011-01-26,15.0
2011-01-26,16.0
2011-01-26,18.0
2011-01-26,20.0
2011-01-26,23.0
2011-01-26,25.0
2011-01-26,28.0
2011-01-26,31.0
2011-01-26,31.0
2011-01-26,37.0
2011-01-27,67.0
2011-01-27,75.0
2011-01-27,55.0
2011-01-27,61.0
2011-01-27,64.0
2011-01-27,71.0
2011-01-27,79.0
2011-01-27,88.0
2011-01-28,7.0
2011-01-28,8.0
2011-01-28,9.0
2011-01-28,10.0
2011-01-28,11.0
2011-01-28,13.0
2011-01-28,14.0
2011-01-28,15.0
2011-01-28,16.0
2011-01-28,18.0
2011-01-28,20.0
2011-01-28,22.0
2011-01-28,24.0
2011-01-28,30.0
2011-01-28,36.0
2011-01-28,48.0
2011-01-28,56.0
2011-01-28,62.0
2011-01-28,61.0
2011-01-28,68.0
2011-01-28,72.0
2011-01-28,94.0
2011-01-28,105.0
2011-01-29,10.0
2011-01-29,11.0
2011-01-29,13.0
2011-01-29,13.0
2011-01-29,14.0
2011-01-29,17.0
2011-01-29,19.0
2011-01-29,22.0
2011-01-29,25.0
2011-01-29,24.0
2011-01-29,27.0
2011-01-29,32.0
2011-01-29,37.0
2011-01-29,41.0
