dteday,Prediction
2011-01-20,24.0
2011-01-20,24.0
2011-01-20,26.0
2011-01-20,29.0
2011-01-20,32.0
2011-01-20,23.0
2011-01-20,24.0
2011-01-20,38.0
2011-01-20,127.0
2011-01-20,41.0
2011-01-20,51.0
2011-01-20,52.0
2011-01-20,177.0
2011-01-20,60.0
2011-01-20,68.0
2011-01-20,77.0
2011-01-20,80.0
2011-01-20,263.0
2011-01-20,263.0
2011-01-20,104.0
2011-01-20,70.0
2011-01-20,72.0
2011-01-20,77.0
2011-01-20,85.0
2011-01-21,14.0
2011-01-21,15.0
2011-01-21,15.0
2011-01-21,16.0
2011-01-21,19.0
2011-01-21,24.0
2011-01-21,36.0
2011-01-21,37.0
2011-01-21,124.0
2011-01-21,44.0
2011-01-21,48.0
2011-01-21,54.0
2011-01-21,184.0
2011-01-21,62.0
2011-01-21,66.0
2011-01-21,65.0
2011-01-21,70.0
2011-01-21,223.0
2011-01-21,230.0
2011-01-21,82.0
2011-01-21,86.0
2011-01-21,89.0
2011-01-21,92.0
2011-01-21,99.0
2011-01-22,9.0
2011-01-22,8.0
2011-01-22,9.0
2011-01-22,10.0
2011-01-22,11.0
2011-01-22,13.0
2011-01-22,15.0
2011-01-22,16.0
2011-01-22,18.0
2011-01-22,57.0
2011-01-22,63.0
2011-01-22,70.0
2011-01-22,89.0
2011-01-22,97.0
2011-01-22,105.0
2011-01-22,117.0
2011-01-22,130.0
2011-01-22,126.0
2011-01-22,136.0
2011-01-22,46.0
2011-01-22,51.0
2011-01-22,57.0
2011-01-22,57.0
2011-01-23,9.0
2011-01-23,10.0
2011-01-23,10.0
2011-01-23,11.0
2011-01-23,12.0
2011-01-23,13.0
2011-01-23,18.0
2011-01-23,18.0
2011-01-23,21.0
2011-01-23,78.0
2011-01-23,83.0
2011-01-23,96.0
2011-01-23,98.0
2011-01-23,111.0
2011-01-23,120.0
2011-01-23,128.0
2011-01-23,134.0
2011-01-23,140.0
2011-01-23,152.0
2011-01-23,52.0
2011-01-23,55.0
2011-01-23,57.0
2011-01-23,59.0
2011-01-24,15.0
2011-01-24,15.0
2011-01-24,18.0
2011-01-24,19.0
2011-01-24,21.0
2011-01-24,23.0
2011-01-24,25.0
2011-01-24,88.0
2011-01-24,32.0
2011-01-24,35.0
2011-01-24,38.0
2011-01-24,121.0
2011-01-24,44.0
2011-01-24,47.0
2011-01-24,59.0
2011-01-24,64.0
2011-01-24,199.0
2011-01-24,215.0
2011-01-24,77.0
2011-01-24,83.0
2011-01-24,62.0
2011-01-24,60.0
2011-01-24,68.0
2011-01-25,11.0
2011-01-25,12.0
2011-01-25,14.0
2011-01-25,17.0
2011-01-25,18.0
2011-01-25,20.0
2011-01-25,22.0
2011-01-25,67.0
2011-01-25,25.0
2011-01-25,28.0
2011-01-25,31.0
2011-01-25,160.0
2011-01-25,56.0
2011-01-25,65.0
2011-01-25,73.0
2011-01-25,79.0
2011-01-25,277.0
2011-01-25,272.0
2011-01-25,61.0
2011-01-25,70.0
2011-01-25,76.0
2011-01-25,80.0
2011-01-25,78.0
2011-01-26,13.0
2011-01-26,14.0
2011-01-26,14.0
2011-01-26,17.0
2011-01-26,18.0
2011-01-26,21.0
2011-01-26,70.0
2011-01-26,24.0
2011-01-26,26.0
2011-01-26,28.0
2011-01-26,94.0
2011-01-26,33.0
2011-01-26,36.0
2011-01-26,39.0
2011-01-26,38.0
2011-01-26,135.0
2011-01-27,77.0
2011-01-27,251.0
2011-01-27,180.0
2011-01-27,64.0
2011-01-27,67.0
2011-01-27,72.0
2011-01-27,78.0
2011-01-27,84.0
2011-01-28,13.0
2011-01-28,14.0
2011-01-28,15.0
2011-01-28,17.0
2011-01-28,19.0
2011-01-28,20.0
2011-01-28,21.0
2011-01-28,72.0
2011-01-28,23.0
2011-01-28,25.0
2011-01-28,27.0
2011-01-28,91.0
2011-01-28,32.0
2011-01-28,38.0
2011-01-28,44.0
2011-01-28,54.0
2011-01-28,181.0
2011-01-28,195.0
2011-01-28,63.0
2011-01-28,67.0
2011-01-28,71.0
2011-01-28,90.0
2011-01-28,95.0
2011-01-29,13.0
2011-01-29,14.0
2011-01-29,15.0
2011-01-29,16.0
2011-01-29,16.0
2011-01-29,19.0
2011-01-29,20.0
2011-01-29,23.0
2011-01-29,25.0
2011-01-29,75.0
2011-01-29,80.0
2011-01-29,89.0
2011-01-29,101.0
2011-01-29,108.0
2011-01-29,131.0
2011-01-29,145.0
2011-01-29,159.0
2011-01-29,163.0
2011-01-29,161.0
2011-01-29,59.0
2011-01-29,63.0
2011-01-29,66.0
2011-01-29,72.0
2011-01-30,12.0
2011-01-30,12.0
2011-01-30,14.0
2011-01-30,15.0
2011-01-30,16.0
2011-01-30,17.0
2011-01-30,20.0
2011-01-30,20.0
2011-01-30,22.0
2011-01-30,77.0
2011-01-30,99.0
2011-01-30,123.0
2011-01-30,126.0
2011-01-30,138.0
2011-01-30,154.0
2011-01-30,166.0
2011-01-30,179.0
2011-01-30,179.0
2011-01-30,195.0
2011-01-30,62.0
2011-01-30,65.0
2011-01-30,69.0
2011-01-30,75.0
2011-01-31,13.0
2011-01-31,15.0
2011-01-31,16.0
2011-01-31,18.0
2011-01-31,27.0
2011-01-31,19.0
2011-01-31,20.0
2011-01-31,19.0
2011-01-31,94.0
2011-01-31,33.0
2011-01-31,35.0
2011-01-31,38.0
2011-01-31,136.0
2011-01-31,47.0
2011-01-31,51.0
2011-01-31,54.0
2011-01-31,59.0
2011-01-31,187.0
2011-01-31,203.0
2011-01-31,73.0
2011-01-31,71.0
2011-01-31,78.0
2011-01-31,92.0
2011-01-31,69.0
2011-02-20,15.0
2011-02-20,15.0
2011-02-20,17.0
2011-02-20,18.0
2011-02-20,19.0
2011-02-20,21.0
2011-02-20,21.0
2011-02-20,24.0
2011-02-20,28.0
2011-02-20,89.0
2011-02-20,103.0
2011-02-20,124.0
2011-02-20,137.0
2011-02-20,160.0
2011-02-20,172.0
2011-02-20,186.0
2011-02-20,198.0
2011-02-20,188.0
2011-02-20,203.0
2011-02-20,72.0
2011-02-20,76.0
2011-02-20,82.0
2011-02-20,86.0
2011-02-21,13.0
2011-02-21,14.0
2011-02-21,16.0
2011-02-21,17.0
2011-02-21,19.0
2011-02-21,20.0
2011-02-21,26.0
2011-02-21,28.0
2011-02-21,25.0
2011-02-21,27.0
2011-02-21,88.0
2011-02-21,95.0
2011-02-21,103.0
2011-02-21,97.0
2011-02-21,120.0
2011-02-21,129.0
2011-02-21,119.0
2011-02-21,144.0
2011-02-21,141.0
2011-02-21,153.0
2011-02-21,49.0
2011-02-21,52.0
2011-02-21,53.0
2011-02-21,58.0
2011-02-22,17.0
2011-02-22,19.0
2011-02-22,63.0
2011-02-22,22.0
2011-02-22,27.0
2011-02-22,31.0
2011-02-22,160.0
2011-02-22,58.0
2011-02-22,64.0
2011-02-22,70.0
2011-02-22,74.0
2011-02-22,242.0
2011-02-22,259.0
2011-02-22,90.0
2011-02-22,97.0
2011-02-22,106.0
2011-02-22,105.0
2011-02-22,113.0
2011-02-23,18.0
2011-02-23,20.0
2011-02-23,21.0
2011-02-23,22.0
2011-02-23,26.0
2011-02-23,29.0
