Id,Prediction
432,46
433,45
434,53
435,64
436,71
437,81
438,86
439,93
440,100
441,104
442,122
443,120
444,120
445,132
446,143
447,153
448,160
449,164
450,175
451,195
452,195
453,201
454,213
455,221
456,42
457,50
458,51
459,61
460,67
461,89
462,87
463,94
464,101
465,110
466,120
467,128
468,132
469,138
470,147
471,150
472,155
473,161
474,164
475,175
476,184
477,188
478,200
479,204
480,27
481,34
482,36
483,44
484,51
485,63
486,79
487,90
488,96
489,93
490,102
491,104
492,109
493,128
494,137
495,148
496,143
497,164
498,168
499,180
500,180
501,182
502,201
503,7
504,15
505,22
506,30
507,41
508,49
509,67
510,77
511,93
512,103
513,104
514,119
515,123
516,129
517,137
518,144
519,152
520,153
521,160
522,168
523,175
524,181
525,191
526,13
527,19
528,38
529,35
530,43
531,48
532,47
533,57
534,65
535,87
536,99
537,103
538,117
539,125
540,136
541,149
542,158
543,166
544,169
545,182
546,188
547,193
548,204
549,31
550,32
551,49
552,57
553,71
554,75
555,89
556,86
557,92
558,101
559,115
560,118
561,129
562,132
563,141
564,149
565,161
566,167
567,181
568,195
569,203
570,205
571,207
572,31
573,40
574,42
575,74
576,82
577,89
578,97
579,105
580,115
581,125
582,133
583,141
584,149
585,160
586,159
587,170
588,160
589,165
590,174
591,182
592,189
593,197
594,205
595,217
596,35
597,43
598,51
599,56
600,71
601,81
602,86
603,93
604,98
605,106
606,116
607,124
608,132
609,135
610,147
611,161
612,179
613,190
614,189
615,198
616,202
617,221
618,224
619,49
620,51
621,58
622,64
623,68
624,82
625,89
626,98
627,104
628,108
629,118
630,130
631,136
632,146
633,165
634,169
635,168
636,185
637,191
638,194
639,202
640,209
641,217
642,26
643,22
644,33
645,42
646,50
647,55
648,71
649,74
650,82
651,92
652,109
653,122
654,134
655,138
656,144
657,152
658,169
659,174
660,182
661,182
662,192
663,202
664,212
665,31
666,41
667,46
668,54
669,61
670,71
671,81
672,82
673,88
674,96
675,100
676,108
677,108
678,109
679,127
680,134
681,140
682,155
683,162
684,182
685,170
686,172
687,188
688,195
1135,43
1136,51
1137,58
1138,65
1139,73
1140,84
1141,90
1142,91
1143,106
1144,109
1145,116
1146,126
1147,141
1148,151
1149,155
1150,164
1151,170
1152,177
1153,185
1154,188
1155,197
1156,215
1157,219
1158,41
1159,49
1160,57
1161,65
1162,70
1163,67
1164,81
1165,89
1166,103
1167,111
1168,119
1169,120
1170,134
1171,145
1172,156
1173,162
1174,167
1175,177
1176,187
1177,194
1178,195
1179,199
1180,207
1181,215
1182,83
1183,91
1184,98
1185,110
1186,115
1187,112
1188,129
1189,142
1190,149
1191,161
1192,164
1193,175
1194,178
1195,190
1196,194
1197,202
1198,207
1199,215
1200,37
1201,41
1202,44
1203,55
1204,68
1205,75
1206,84
1207,98
1208,104
1209,104
1210,123
1211,129
1212,139
1213,150
1214,159
1215,164
1216,175
1217,180
1218,185
1219,203
1220,198
1221,206
1222,216
1223,39
1224,48
1225,58
1226,68
1227,86
1228,96
1229,105
1230,117
1231,124
1232,130
1233,141
1234,150
1235,151
1236,160
1237,164
1238,172
1239,184
1240,208
1241,212
1242,225
1243,231
1244,230
1245,243
1246,51
1247,66
1248,74
1249,83
1250,99
1251,103
1252,116
1253,125
1254,136
1255,142
1256,168
1257,162
1258,170
1259,179
1260,180
1261,186
1262,196
1263,201
1264,208
1265,217
1266,220
1267,231
1268,236
1269,54
1270,65
1271,73
1272,73
1273,71
1274,83
1275,89
1276,100
1277,102
1278,120
1279,128
1280,134
1281,144
1282,157
1283,166
1284,174
1285,189
1286,193
1287,200
1288,209
1289,213
1290,224
1291,235
1292,246
1293,53
1294,58
1295,63
1296,68
1297,79
1298,86
1299,103
1300,104
1301,117
1302,128
1303,138
1304,142
1305,150
1306,161
1307,170
1308,180
1309,184
1310,189
1311,197
1312,205
1313,213
1314,215
1315,226
1316,47
1317,62
1318,71
1319,89
1320,100
1321,110
1322,124
1323,132
1324,143
1325,154
1326,161
1327,161
1328,165
1329,173
1330,181
1331,186
1332,200
1333,203
1334,211
1335,217
1336,228
1337,235
1784,61
1785,68
1786,70
1787,76
1788,82
1789,91
1790,99
1791,107
1792,116
1793,122
1794,118
1795,135
1796,146
1797,151
1798,160
1799,169
1800,179
1801,185
1802,192
1803,207
1804,216
1805,218
1806,229
1807,234
1808,50
1809,65
1810,73
1811,81
1812,99
1813,95
1814,107
1815,120
1816,131
1817,130
1818,141
1819,153
1820,164
1821,177
1822,186
1823,193
1824,201
1825,208
1826,225
1827,232
1828,237
1829,243
1830,250
1831,73
1832,79
1833,88
1834,92
1835,92
1836,99
1837,112
1838,111
1839,114
1840,121
1841,133
1842,145
1843,154
1844,166
1845,173
1846,181
1847,189
1848,197
1849,203
1850,203
1851,211
1852,216
1853,223
1854,231
1855,53
1856,63
1857,71
1858,84
1859,92
1860,111
1861,118
1862,121
1863,130
1864,140
1865,147
1866,158
1867,157
1868,170
1869,176
1870,184
1871,192
1872,194
1873,201
1874,223
1875,227
1876,232
1877,231
1878,66
1879,73
1880,81
1881,86
1882,94
1883,100
1884,108
1885,110
1886,124
1887,129
1888,143
1889,149
1890,153
1891,160
1892,163
1893,174
1894,180
1895,189
1896,197
1897,209
1898,216
1899,219
1900,227
1901,236
1902,57
1903,59
1904,70
1905,72
1906,79
1907,90
1908,100
1909,109
1910,114
1911,126
1912,131
1913,142
1914,152
1915,156
1916,169
1917,170
1918,181
1919,187
1920,195
1921,197
1922,203
1923,210
1924,221
1925,227
1926,50
1927,66
1928,68
1929,74
1930,83
1931,91
1932,97
1933,106
1934,112
1935,121
1936,131
1937,141
1938,150
1939,160
1940,169
1941,173
1942,179
1943,188
1944,187
1945,200
1946,208
1947,213
1948,222
1949,231
1950,33
1951,45
1952,43
1953,56
1954,59
1955,76
1956,87
1957,105
1958,108
1959,114
1960,119
1961,128
1962,145
1963,151
1964,162
1965,169
1966,176
1967,182
1968,189
1969,196
1970,203
1971,211
1972,220
1973,40
1974,45
1975,52
1976,60
1977,74
1978,82
1979,91
1980,97
1981,101
1982,116
1983,121
1984,121
1985,137
1986,152
1987,160
1988,170
1989,181
1990,183
1991,185
1992,193
1993,200
1994,212
1995,221
1996,45
1997,52
1998,60
1999,67
2000,68
2001,79
2002,88
2003,99
2004,107
2005,115
2006,124
2007,132
2008,139
2009,153
2010,160
2011,161
2012,168
2013,178
2014,184
2015,193
2016,200
2017,208
2018,218
2019,224
2020,43
2021,51
2022,59
2023,64
2024,75
2025,89
2026,91
2027,97
2028,109
2029,119
2030,130
2031,137
2032,142
2033,153
2034,163
2035,170
2036,176
2037,180
2038,197
